71,-,0,HTH 360-5MS 0093/026,SINGLE CVC40+E20,DHSB,XANH TÍM THAN B8188 SO 21.01.21.P2,21.01.26.F1.FA2,-,1Z540,,,-,-
72,-,0,HTH 360-5MS 0093/026,SINGLE CVC40+E20,DHTP,XÁM BCVCC07 SO 21.01.18.K1,21.01.27.D1.1,-,1Z538,,,-,-
73,-,0,HTH 360-5MS 0093/026,SINGLE CVC40+E20,DHTP,XANH ĐEN BCFC12-49 SO 21.01.21.N1,21.01.27.C1.FA2,-,1Z661,,,-,-
74,-,0,HTH 360-5MS 0093/026,SINGLE CVC40+E20,DHSB,XÁM ĐẬM BCVC 65 SO 21.01.19.F2,21.01.27.A1.1,-,1Z539,,,-,-
75,-,0,HTH 360-5MS 0093/026,SINGLE CVC40+E20,DHSB,BLUE SO 21.01.07.D2,21.01.26.G1.FA2,-,1Z576,,,-,-
76,-,0,HTH 360-5MS 0093/026,SINGLE CVC40+E20,DHTP,XÁM ĐẬM BCVC 65 SO 21.01.19.F2,21.01.27.A1.1,-,1Z539,,,-,-
77,-,0,HTH 360-5MS 0093/026,SINGLE CVC40+E20,DHTP,BLUE SO 21.01.07.D2,21.01.26.G1.FA2,-,1Z576,,,-,-
78,-,0,HTH 355-5MS 0093/012,SINGLE CVC40+E20,DHSB,TRẮNG 11-0601 TCX,21.01.07.W1,-,1Z478,,,-,-
79,-,0,HTH 355-5MS 0093/012,SINGLE CVC40+E20,DHSB,RÊU SO 21.01.07.B2,21.01.18.E1.FA2,-,1Z512,,,-,-
80,-,0,HTH 355-5MS 0093/012,SINGLE CVC40+E20,DHSB,NAVY SO 21.01.06.D1,21.01.18.D1.FA2,-,1Z359,,,-,-
81,-,0,HTH 355-5MS 0093/012,SINGLE CVC40+E20,DHSB,XANH DƯƠNG SO 21.01.06.L1,21.01.18.A1.FA2,-,1Z409,,,-,-
82,-,0,HTH 355-5MS 0093/012,SINGLE CVC40+E20,DHSB,XANH LAM 1 SO 21.01.06.F2,21.01.18.G1.FA2,-,1Z446,,,-,-
83,-,0,HTH 355-5MS 0093/012,SINGLE CVC40+E20,DHSB,ĐEN SO 21.01.06.H2,21.01.16.C1.FA2,-,1Z533,,,-,-
84,-,0,HTH 355-5MS 0093/012,SINGLE CVC40+E20,DHTP,TRẮNG 11-0601 TCX,21.01.07.W1,-,1Z478,,,-,-
85,-,0,HTH 355-5MS 0093/012,SINGLE CVC40+E20,DHTP,NAVY SO 21.01.06.D1,21.01.18.D1.FA2,-,1Z359,,,-,-
86,-,0,HTH 355-5MS 0093/012,SINGLE CVC40+E20,DHTP,RÊU SO 21.01.07.B2,21.01.18.E1.FA2,-,1Z512,,,-,-
87,-,0,HTH 355-5MS 0093/012,SINGLE CVC40+E20,DHTP,XANH DƯƠNG SO 21.01.06.L1,21.01.18.A1.FA2,-,1Z409,,,-,-
88,-,0,HTH 355-5MS 0093/012,SINGLE CVC40+E20,DHTP,XANH LAM 1 SO 21.01.06.F2,21.01.18.G1.FA2,-,1Z446,,,-,-
89,-,0,HTH 355-5MS 0093/012,SINGLE CVC40+E20,DHTP,ĐEN SO 21.01.06.H2,21.01.16.C1.FA2,-,1Z533,,,-,-
90,-,0,HTH 355-5MS 0093/012,SINGLE CVC40+E20,DHSB,XANH LAM,21.01.06.G1.FA2,-,1Z344,,,-,-
91,-,0,HTH 355-5MS 0093/012,SINGLE CVC40+E20,DHSB,BEIGE SO 21.01.07.A1,21.01.18.B1.FA2,-,1Z445,,,-,-
